,No,Betweenness,Katz,Collective Influence,Degree
56,56,0.05434782608695654,0.010869565217391353,0.03260869565217395,0.010869565217391353
57,57,0.05434782608695654,0.010869565217391353,0.03260869565217395,0.010869565217391353
58,58,0.05434782608695654,0.010869565217391353,0.03260869565217395,0.010869565217391353
59,59,0.05434782608695654,0.010869565217391353,0.03260869565217395,0.010869565217391353
60,60,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
61,61,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
62,62,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
63,63,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
64,64,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
65,65,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
66,66,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
67,67,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
68,68,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
69,69,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
70,70,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
71,71,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
72,72,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
73,73,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
74,74,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
75,75,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
76,76,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
77,77,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
78,78,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
79,79,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
80,80,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
81,81,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
82,82,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
83,83,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
84,84,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
85,85,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
86,86,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
87,87,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
88,88,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
89,89,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
90,90,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
91,91,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
92,92,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
93,93,0.05434782608695654,0.010869565217391353,0.021739130434782594,0.010869565217391353
94,94,0.04347826086956519,0.010869565217391353,0.021739130434782594,0.010869565217391353
95,95,0.03260869565217395,0.010869565217391353,0.021739130434782594,0.010869565217391353
